run_id,seed_index,honesty_level,midpoint_message,moral_trust,expected_return_rate,truth_return_link,controllability,strategy
1,1,high,neutral_reminder,75,0.55,35,30,Consistent investment amount regardless of statements
2,2,high,neutral_reminder,55,0.45,20,65,Reduced investment size after observing inconsistent returns
3,3,high,neutral_reminder,65,0.53,15,40,invested the same amount each trial regardless
4,4,high,neutral_reminder,75,0.58,25,60,Consistent moderate investment regardless of truth
5,5,high,neutral_reminder,60,0.54,25,80,invest when pattern seems consistent with prior returns
7,7,high,neutral_reminder,95,0.58,5,70,invest heavily to maximize returns from consistent partner
8,8,high,neutral_reminder,83,0.58,20,30,Consistent moderate investment regardless of statement truth
10,10,high,neutral_reminder,65,0.58,25,40,Moderate fixed investment with occasional cautious reduction
11,11,high,neutral_reminder,55,0.58,20,30,Consistent moderate investment regardless of statements
12,12,high,neutral_reminder,70,0.57,10,10,"Consistent investment, passive approach"
13,13,high,neutral_reminder,70,0.58,75,20,constant investment regardless of statement content
15,15,high,neutral_reminder,65,0.55,25,25,Consistent moderate investment regardless of statements
16,16,high,neutral_reminder,75,0.55,30,25,Fixed investment regardless of statement truth
17,17,high,neutral_reminder,65,0.56,20,15,consistently invested five tokens each trial
18,18,high,neutral_reminder,65,0.57,30,40,Fixed moderate investment to maintain cooperation while limiting risk
19,19,high,neutral_reminder,78,0.58,55,20,"invest moderately, expecting decent returns"
20,20,high,neutral_reminder,70,0.55,20,30,Moderate investment with some full bets when confident
21,21,high,neutral_reminder,75,0.58,20,30,Consistently invest moderate amounts regardless
24,24,high,neutral_reminder,75,0.57,20,45,"Invest moderately, trusting truthful statements, withholding otherwise"
25,25,high,neutral_reminder,75,0.58,35,15,Consistently invested 5 tokens each trial
26,26,high,neutral_reminder,75,0.58,25,30,Consistent moderate investment regardless of statements
27,27,high,neutral_reminder,78,0.56,15,20,consistent medium investment regardless of truth
28,28,high,neutral_reminder,65,0.53,20,75,Conservative moderate investment to build trust and observe returns
29,29,high,neutral_reminder,78,0.58,62,55,Consistently invest medium amounts to balance trust and safety
30,30,high,neutral_reminder,80,0.53,20,30,conservative fixed investment
31,1,low,neutral_reminder,40,0.55,10,20,Fixed investment regardless of statements
32,2,low,neutral_reminder,30,0.55,30,80,Zero investment to avoid losses and gather information
33,3,low,neutral_reminder,20,0.6,25,60,Cautious investing only when statement seems plausible
34,4,low,neutral_reminder,35,0.58,25,45,Moderate consistent investment regardless of statement accuracy
35,5,low,neutral_reminder,15,0.55,20,25,Reduced investment after observing low truth accuracy
